abbreviate|ana|an abstract
abduce|mat|</ref>
abduct|mat|</ref>
abe|ana|be.
abe|ana|elder sister
abe|ana|down
abe|ana|monkey
abe|ana|bird
abe|ana|tree
abe|ana|bee
abe|mat|let alone
abelianize|mat|transform into an abelian group
abend|ana|An abnormal termination of a program.
aberr|mat|</ref>
aberrate|mat|</ref>
abet|mat|</ref>
abet|ana|fir-tree
abet|ana|religious habit
abhor|mat|</ref>
abide|mat|<ref name=SOED/>
abide|ana|something of monumental importance
abide by|mat|accept .
abirritate|mat|diminish the sensibility of; to debilitate; to soothe.
abite|mat|bite; eat; devour.
abite|mat|: go away!
abject|mpam|</ref>
abject|mpam|reprehensible
abject|mpam|Worthy of utmost contempt or disgust; vile; despicable.
abjoint|mat|form by cutting off as a protrusion from a parent cell.
abjudge|mat|confiscate by judicial decision.
abjudicate|mat|reject by judicial sentence.
abjugate|mat|unyoke; set free; uncouple.
abjure|mat|</ref>
abjure the realm|mat|swear to leave the realm as soon as possible and not return without the permission of the sovereign.
ablactate|mat|wean.
ablaqueate|mat|</ref>
ablate|mat|</ref>
ablaut|ana|</ref>
ablaut|ana|ablaut
ablaut|ana|gloss|substitution of one root vowel for another
able|mpam|</ref>
able|ana|vernacular name of the bleak
able|mpam|able
ablegate|mat|send abroad.
abligate|mat|tie up so as to hinder from.
ablude|mat|be unlike; to differ.
ablute|mat|</ref>
abmigrate|mat|take part in abmigration.
abnegate|mat|<ref name=SOED/>
abnormalize|mat|</ref>
abode|ana|</ref>
abolish|mat|end a law
abolitionize|mat|imbue with the principles of abolitionism.
abominate|mpam|</ref>
abomine|mat|</ref>
abord|ana|The manner with which one acts in the presence of another person or persons
abort|mat|; to cause a premature termination of ; to end a pregnancy before term
abort|ana|abortion
abort|ana|abortion
abort|ana|gloss|function used to abort a process
abort|ana|an abort
abortive|mpam|<ref name=SOED/>
abound|mat|</ref>
abound in|mat|have something in great numbers or quantity in such abundance as to be characterized by.
abound in one's own sense|mat|Follow one's own opinion.
abound with|mat|have something in great numbers or quantity in such abundance as to be characterized by.
about ship|mat|</ref>
about turn|ana|</ref>
about-face|ana|An abrupt turn to face the opposite direction.
about-turn|ana|turn of 180 degrees
abr.|ana|; apr
abrade|mat|</ref>
Abrahamize|mat|make Abrahamic
abrase|mpam|</ref>
abreact|mat|</ref>
abrenounce|mat|</ref>
abridge|mat|</ref>
abroach|mat|set abroach; to let out
abrogate|mat|<ref name=SOED/>
abrook|mat|brook; to endure. </ref>
abrupt|mpam|</ref>
abrupt|mpam|Extremely steep
abrupt|mpam|abrupt
abscess|ana|</ref>
abscind|mat|</ref>
abscise|mat|</ref>
absciss|ana|</ref>
abscond|mat|<ref name=SOED/>
abseil|mat|</ref>
absent|mpam|Being away from a place; withdrawn from a place; not present; missing.
absent|mpam|absent
absent|mpam|absent
absent|mpam|absent
absent|mpam|absent
absent|mpam|absent
absinthiate|mat|impregnate with wormwood.
absist|mat|stand apart from; to leave off; to desist.
absolutise|mat|</ref>
absolutize|mat|</ref>
absolve|mat|</ref>
absorb|mat|</ref>
absorb oneself in|mat|become preoccupied by .
absquatulate|mat|</ref>
abstain|mat|</ref>
absterge|mat|</ref>
absterse|mat|</ref>
abstract|ana|An abridgement or summary of a longer publication. </ref>
abstract|mpam|abstract
abstract|ana|abstract
abstract away|mat|generalize concepts or their application by using abstraction into a more usable form
abstractify|mat|make abstract.
abstrict|mat|cut off
abstringe|mat|unbind.
abstrude|mat|thrust away.
absume|mat|<ref name=SOED/>
abuse|ana|improper practice or custom.
abut|mat|<ref name=SOED/>
abut|mat|arrive at a place
abut|mat|pluck
abut on|mat|border on.
abvolate|mat|fly away.
aby|mat|<ref name=SOED/>
aby|mat|so that
aby|tamb|to
aby|tamb|ago
academicize|mat|<ref name=SOED>Brown
academize|mat|make academic
accable|mat|overwhelm; to encumber.
accelerate|mat|cause to move faster; to quicken the motion of; to add to the speed of.
accend|mat|set on fire; to kindle.
accent|ana|higher-pitched or stronger articulation of a particular syllable of a word or phrase in order to distinguish it from the others or to emphasize it.
accent|ana|accent
accent|ana|accent gloss|a nonstandard way of pronouncing
accent|ana|accent
accent|ana|accent
accent|ana|accent
accent|ana|accent
accent|ana|an accent
accentuate|mat|pronounce with an accent or vocal stress.
accept|mat|receive
accept|mat|accept
accept|ana|bill of exchange that has been accepted
accept service|mat|receive and acknowledge receipt of service of process.
acceptilate|mat|discharge a  by acceptilation
access|ana|way or means of approaching or entering; an entrance; a passage.
accession|ana|coming to; the act of acceding and becoming joined
accession|ana|accession
accessorize|mat|furnish with accessories.
accinge|mat|prepare oneself for action.
accite|mat|summon.
acclaim|mat|shout; to call out.
acclamate|mat|acclaim.
acclimate|mat|habituate to a climate not native; to acclimatize.
acclimatize|mat|get used to a new climate.
accloy|mat|drive a nail into a horseshoe; to lame.
accoast|mat|lie or sail along the coast or side ; to accost.
accoil|mat|gather together; to collect.
accolade|ana|An expression of approval; praise.
accolade|ana|brace
accolade|ana|curly bracket
accoll|mat|embrace.
accommodate|mat|render fit
accommodate|tamb|suitably
accommodate|mat|accommodate
accommode|mat|accommodate.
accompany|mat|go with or attend as a companion or associate; to keep company with; to go along with.
accompass|mat|achieve; effect; bring about.
accomplish|mat|finish successfully.
accompt|ana|account
accord|ana|Agreement or concurrence of opinion
accord|ana|chord
accord|ana|agreement
accordion|ana|small
accost|mat|approach and speak to boldly or aggressively
accouche|mat|aid in an accouchement.
account|ana|subscription to an electronic service
account for|mat|explain by relating circumstances; to show that some one
account of|mat|esteem; to prize; to value.
account to|mat|answer to; to be responsible to.
accouple|mat|join; to couple.
accourage|mat|encourage.
accourt|mat|treat courteously; to court.
accouter|mat|furnish with dress or equipments
accouter|mat|lean upon one's elbows
accoutre|mat|furnish with dress
accrease|mat|increase.
accredit|mat|ascribe; attribute; credit with.
accredit with|mat|attribute  to.
accreditate|mat|accredit.
accresce|mat|accrue.
accrete|mat|grow together
accriminate|mat|accuse of a crime.
accroach|mat|hook
accrue|mat|increase
accrue|ana|dry land created by draining
acculturate|mat|change the culture of  by the influence of another culture
acculture|mat|familiarize oneself with
accumb|mat|recline
accumber|mat|encumber; to crush; to overwhelm.
accuminate|mpam|taper.
accumulate|mat|heap up in a mass; to pile up; to collect or bring together
accumulate|tamb|abundantly
accurize|mat|improve the accuracy of
accurse|mat|devote to destruction; to imprecate misery or evil upon; to curse; to execrate; to anathematize.
accuse|mat|find fault with
accustomize|mat|learn to adapt one's lifestyle to a new or changed environment.
ace|ana|single point or spot on a playing card or die.
ace|ana|ace
ace|ana|flavour of w:Fruit juice|fruit juice
ace|ana|gloss|tennis: point scored without the opponent hitting the ball
ace|ana|The smallest possible amount of something.
ace|ana|gloss|point scored without the opponent hitting the ball
ace into|mat|be barely admitted into something
ace out|mat|defeat others in a contest; to do better than others in a competition.
acellularize|mat|make acellular by the removal of cells.
acerbate|mpam|embittered or nature.
acervate|mpam|heaped
acetalize|mat|convert  into an acetal.
acetify|mat|convert into acid or vinegar.
acetize|mat|acetify.
acetolyze|mat|promote
acetylate|mat|react with acetic acid or one of its derivatives; to introduce one or more acetyl groups into a substance
ache|mat|suffer pain; to be the source of
ache|ana|celery gloss|plant
ache|ana|wild celery
ache for|mat|desire or want something
achoo|ana|The sound of a sneeze.
achromatize|mat|deprive of colour; to make achromatic.
acidify|mat|make something  acidic or sour; to convert into an acid.
acidize|mat|impregnate with acid; acidify.
acidulate|mat|make slightly or moderately acid
acierate|mat|convert iron into steel
acknow|mat|recognize.
acknowledge|mat|admit the knowledge of; to recognize as a fact or truth; to declare one's belief in
acknowledge the corn|mat|admit to the truth of the point at issue or to a mistake; to cop a plea; or perhaps to admit to a small error but not a larger one.
acquaint|mat|furnish or give experimental knowledge of; to make  to know; to make familiar.
acquiesce|mat|rest satisfied
acquiet|mat|quiet.
acquihire|mat|acquire a company to recruit its employees
acquire|mat|get.
acquist|ana|acquisition.
acquit|mat|declare or find#Verb innocent
acquite|mat|.
acquittance|ana|The clear off.
acraze|mat|weaken
acronym|ana|An abbreviation formed by the initial letters of other words
acronymize|mat|turn a phrase into an acronym.
acrospire|ana|The sprout at the end of a seed when it begins to germinate.
act|ana|Something done
act|ana|act
act|ana|an act
act a fool|mat|play the fool
act chicken|mat|behave timidly
act on|mat|act decisively on the basis of information received or deduced.
act one's age|mat|behave in a mature manner; to avoid being childish.
act the goat|mat|play around in a silly manner.
act the jennet|mat|play around in a foolish or annoying manner.
act the maggot|mat|play around in a foolish or annoying manner.
act up|mat|misbehave; to cause trouble.
act up to|mat|equal in action; to fulfill in practice.
act upon|mat|take action on the basis of information received or deduced.
action|ana|Something done so as to accomplish a purpose.
action|ana|action
action|ana|action
action|ana|action
actionize|mat|bring a legal action against; to sue.
activate|mat|encourage development or induce increased activity; to stimulate.
activize|mat|convert to activism.
actualize|mat|make real; to realize.
actuate|mat|activate
acuate|mpam|sharpen; sharp-pointed.
acuminate|mpam|taper.
acupunctuate|mat|pierce with a needle; to treat with acupuncture.
acupuncture|ana|The insertion of needles into the  tissue of the body
acupuncture|ana|acupuncture
acute|mpam|brief#Adjective|Brief
acute|mpam|.
acute|mpam|acute
acylate|mat|add one or more acyl groups to a compound.
ad lib|tamb|At pleasure.
ad-lib|mat|improvise all or part of a speech or other performance
Adam and Eve|mat|The first man and woman
adapt|mat|make suitable; to make to correspond; to fit or suit
adapt|mat|adapt
adaunt|mat|subdue.
adaw|mat|subdue
adaxialize|mat|convert to adaxial form
add|mat|or enlarge the magnitude
add|mat|in certain l|en|internet services
add|mat|add
add fuel to fire|mat|.
add insult to injury|mat|further a loss with mockery or indignity; to worsen an unfavourable situation.
add oil|mat|make extra effort.
add on|mat|incorporate .
add one's twopenn'orth|mat|offer one's opinion.
add up|mat|take a sum.
add up to|mat|have a particular effect in combination.
add value|mat|make a product or service more desirable or useful.
addend|ana|Any one of two or more numbers or other terms that are to be added together.
addend|ana|an addend
addict|ana|person who is addicted
addict|ana|an addict
addle|mat|earn
addoom|mat|adjudge.
address|ana|Direction or superscription of a letter
address|ana|an address
adduce|mat|bring forward or offer
adduce|mat|to
adduct|mat|draw towards a center or a middle line.
addulce|mat|sweeten; to soothe.
adeem|mat|revoke  or to satisfy it by some other gift.
adempt|mat|take away.
adenylate|ana|The dissociated anion present in adenylic acid;' adenosine monophosphate.
adenylylate|mat|undergo adenylylation
adequate|mpam|Equal to or fulfilling some requirement.
adhere|mat|stick fast or cleave
adhibit|mat|allow in; to admit.
adhort|mat|exhort; to advise.
adiate|mat|receive an inheritance.
adight|mat|set in order; to array.
adipocerate|mat|convert into adipocere.
adject|mat|annex
adjective|ana|word that modifys a noun’s referent.
adjective|ana|adjective
adjectivize|mat|convert a word into an adjective.
adjoin|mat|be in contact or connection with.
adjourn|mat|postpone.
adjudge|mat|declare to be.
adjudicate|mat|settle a legal case or other dispute.
adjugate|mat|yoke an animal to something
adjure|mat|issue a formal command.
adjust|mat|modify.
adjute|mat|add.
adjuvate|mat|help; to further.
adlect|mat|choose or elect
admarginate|mat|write in the margin.
admeasure|mat|measure.
admin|ana|Administration
admin|ana|administrator
admin|ana|gloss|computing: one who responsible for software and maintenance of a computer or network
adminiculate|mat|prove; to corroborate.
administer|mat|cause to ingest
administer|ana|assistant
administrate|mat|administer
administre|tamb|administratively
admire|mat|be amazed at; to view with surprise; to marvel at.
admire|tamb|admiringly
admire|mat|admire
admire to|mat|want to do .
admit|mat|allow to enter; to grant entrance
admix|mat|mingle with something else; to mix.
admonish|mat|warn or notify of a fault; to reprove gently or kindly
admonish|mat|admonish
admove|mat|move or conduct to or toward.
adnominalize|mat|transform a word into an adnominal  form.
adolesce|mat|commence or progress through adolescence.
adonise|mat|embellish or adorn
adopt|mat|take by choice into relationship
adopt out|mat|expel a child from a family by placing them for adoption; to put a child up for adoption privately
adorate|mat|worship
adore|mat|worship.
adore|ana|energy
adorn|mat|make more beautiful and attractive; to decorate.
adraw|mat|draw out; to draw .
adree|mat|carry on; practice; pass .
adrenalectomize|mat|subject to an adrenalectomy.
adrenalise|mat|render frightening or thrilling
adrogate|mat|adopt .
adsignify|mat|denote additionally.
adsorb|mat|accumulate on a surface
adsorp|mat|adsorb
adulate|mat|flatter effusively.
adult|ana|fully grown human or animal.
adult|mpam|adult gloss|fully grown
adult|mpam|adult
adult|mpam|adult
adulter|mat|commit adultery.
adulter|mpam|adulterous
adulterate|mpam|Tending to commit adultery.
adulterize|mat|commit adultery.
adulticide|ana|pesticide designed to kill adult insects rather than their larvae.
adultify|mat|treat a non-adult like an adult.
adultize|mat|raise  in such a way that it adopts adult behaviors earlier than is usual.
adumbrate|mat|foreshadow vaguely.
adure|mat|burn up.
advance|mat|''To promote or advantage.''
advantage|ana|Any condition
advect|mat|transport  by advection.
advene|mat|accede or to come to; to be superadded to
adventure|ana|The encountering of risks; hazardous and striking enterprise; a bold undertaking
adverb|ana|word that modifys.
adverbialize|mat|use or change into an adverb.
adverbise|mat|use any word that is not
adversely possess|mat|take ownership of  through the doctrine of adverse possession.
advert|ana|An advertisement
advesperate|mat|draw towards evening.
advice|ana|An opinion recommended or offered
advise|mat|give advice to; to offer an opinion to
advise|mat|advise
advocate|ana|Someone whose job is to speak for someone's case in a court of law; a counsel.
advocate|ana|barrister
advoke|mat|summon or call .
adwesch|mat|quench; extinguish
adze|ana|cutting tool that has a curved blade set at a right angle to the handle and is used in shaping wood.
aerate|mat|supply with oxygen or air.
aerify|mat|mix with air.
aerobate|mat|perform aerobatics.
aerobicize|mat|perform aerobics.
aerobrake|ana|mechanism for aerobraking.
aerosolise|mat|disperse a material
aestheticise|mat|make aesthetic; to show something at its best
afare|mat|depart.
afear|mat|imbue with fear; to affright; to terrify.
afear|mat|make ugly; to uglify
affamish|mat|cause  to die of hunger; to starve.
affatuate|mat|infatuate.
affear|mat|frighten
affect|mat|influence or alter.
affect|mat|affect; emotion
affect|mat|affect
affection|ana|The act of affecting or acting upon.
affection|ana|affection
affectionate|mpam|Having affection or warm regard; loving; fond.
affectionate|mpam|affectionate
affeeble|mat|enfeeble.
affeer|mat|assess or reduce an arbitrary penalty or amercement to a precise sum; to fix the market value of.
affiance|mat|be betrothed to; to promise to marry.
affile|mat|polish.
affiliate|ana|Someone or something
affine|mpam|Assigning finite values to finite quantities.
affine|mpam|similar
affinize|mat|convert to affine form
affirm|mat|agree
affix|ana|That which is affixed; an appendage.
affix|ana|an
afflict|mat|cause  pain
afflict|mat|afflict
afforce|mat|reinforce  with extra people
afford|mat|incur
afforest|mat|make into forest
afform|mat|form; model; cause to conform.
affranchise|mat|free from obligation
affray|ana|The act of suddenly disturbing anyone; an assault or attack.
affreight|mat|hire  for the transportation of freight.
affricate|ana|sound produced using a combination of a plosive and a fricative.
affright|ana|Great fear
affrighten|mat|frighten.
affront|mat|insult intentionally
affront|ana|affront
affront|mat|affront; cause to feel ashamed; cause to blush; to humiliate
affuse|mat|pour out or upon.
Afghanize|mat|make Afghan; to cause to have an Afghani character.
Africanize|mat|make African.
after-eye|mat|keep in view or sight.
aftercool|mat|cool by means of an intercooler.
aftersee|mat|see or witness after the fact or event; see in hindsight or retrospectively.
afterthink|mat|think about after the fact
afterthought|ana|reflection after an act; a later or subsequent thought
againsay|mat|contradict; to gainsay.
againstand|mat|stand against; to withstand; to oppose.
agak agak|mat|estimate or guess.
agatize|mat|convert  into the form of agate; to fossilize.
age|ana|The whole duration of a being#Noun
age|mat|drive
age|ana|beam
age|ana|rotten
age|ana|face
age|ana|age
age|ana|age
age out|mat|become too old for an activity
aggerate|mat|heap up.
aggest|mat|heap up.
agglomerate|mpam|collected into a ball
agglutinate|mpam|United with glue or as with glue; cemented together.
aggrace|mat|favour; to grace.
aggrade|mat|raise the level of a river bed by the deposition of sediment
aggrandize|mat|make great; to enlarge; to increase.
aggrate|mat|gratify
aggravate|mat|make worse
aggregate|ana|mass
aggrege|mat|make heavy; to aggravate.
aggress|ana|aggression.
aggrieve|mat|cause someone to feel pain or sorrow to; to afflict
aggro|ana|aggravation.
aggroup|mat|bring together in a group; to group.
agist|mat|take to graze or pasture
agitate|mat|cause to move with a violent
agitate|mat|to
agnize|mat|recognise; to acknowledge.
agnominate|mat|name.
agnosticize|mat|make agnostic.
agonize|mat|writhe with agony; to suffer violent anguish.
agrarianize|mat|imbue with the principles of agrarianism.
agree|mat|harmonize in opinion
agree to disagree|mat|tolerate one another's opinion and stop argue will not be reached.
agriculturalize|mat|make agricultural.
agriculturize|mat|convert  for agricultural use.
agroexpress|mat|express a gene by means of agroinfiltration
agroinfiltrate|mat|undergo agroinfiltration
ague|ana|An acute fever.
aguise|mat|dress; to array.
ah|ana|beech
ah|ana|yes
ah|ana|ah
ah|ana|oh
ah|ana|expressing understanding
ah|ana|ah
ah|ana|ah!
ah|ana|ah
ah|mat|ah! gloss|expression of relief
ah|mat|be
ah|ana|ah gloss|expression of relief
ah|ana|ah; an expression of relief
ahoy|mat|Used to hail a ship
aid|ana|help.
aid|ana|woman
aid|ana|fence
aid|ana|woman
aid|ana|fence
aid and abet|mat|be accomplice to someone in an illegal act.
aik|mat|drive.
aik|ana|oak
ail|mat|cause to suffer; to trouble
ail|ana|garlic
ail|ana|garlic
ail|ana|stone
ail|ana|garlic
ail|mpam|second
aim|ana|The pointing of a weapon
aim|ana|sense
ain't nothing but a thang|mat|is not important; it doesn't matter.
air|mat|The substance constituting earth's atmosphere
air|mat|air
air|mat|air
air|mat|air gloss|gases of the atmosphere
air|mat|water
air|mat|plough
air|ana|woman
air|ana|oar
air|ana|water
air|ana|air
air|mat|strip off
air|ana|oar
air guitar|ana|An imaginary guitar that a listener to  music pretends to play.
air guitar|ana|air guitar gloss|imaginary guitar that a person pretends to play
air one's dirty laundry in public|mat|reveal one's secrets to the public.
air one's paunch|mat|vomit
air out|mat|expose to air; to leave open or spread out
air ship|mat|transport  by air.
air-condition|mat|mechanically cool a space or an entire structure.
air-drop|ana|delivery of goods or equipment by dropping from an aircraft in flight.
air-dry|mpam|Free of moisture to the degree possible by exposure to air; "naturally" dried.
air-freight|mat|ship cargo by the use of aircraft.
airball|ana|shot that misses the backboard
airbrush|ana|miniature
airdash|mat|travel hastily by aircraft; to fly.
airdrop|ana|The act of delivering goods or personnel by dropping them from an aircraft by parachute.
airfreight|ana|The transportation of freight by air.
airland|mat|transport  to a place by aircraft
airlift|ana|The transportation of troops
airmail|ana|The system of conveying mail using aircraft.
airproof|mpam|airtight
airship|ana|lighter-than-air aircraft that can be propelled forward through the air as well as steered.
airstep|mat|suspend a limb without contact with the ground
airt|mat|guide; to direct.
airt|ana|quarter of the compass
ajar|tamb|Slightly turned or opened.
ajar|mat|teach
ajar|mat|teach
ajar|mat|fade
Ajaxify|mat|modify a Web application to use Ajax.
ake|ana|water
ake|ana|water
ake|ana|water
ake|mpam|his/her/its
ake|ana|water
ake|ana|water
aken|mat|bear
aken|mpam|window
akill|mat|ban  from an IRC server so that he/she is automatically disconnected on any future attempt to connect.
aks|mat|ask.
aks|ana|ear
aks|ana|water
aks|ana|axis
alacrify|mat|rouse into action; to inspirit; to inspire.
alarm|ana|summons to arms
alarm|ana|alarm
alarm|ana|alarm
alarum|ana|danger signal or warning.
Alaskanize|mat|make Alaskan
albitize|mat|convert into albite.
albumenize|mat|convert into albumen.
alchemise|mat|change something's properties by means of alchemy.
alcoholize|mat|convert into alcohol by fermentation
alegge|mat|allay or alleviate; to lighten.
alert|mpam|attentive; on guard.
alert|mpam|alert
alert|mpam|alert
alert|mpam|alert
algebraicize|mat|make algebraic
algebraize|mat|perform by algebra; to reduce to algebraic form.
algorithmicize|mat|make algorithmic.
algorithmize|mat|convert an informal description of a process or a procedure into an algorithm.
alias|tamb|otherwise; otherwise called.
alias|ana|alias
alias|tamb|alias
alias|tamb|alias
alias|tamb|at a time other than the present; at another time
alias|tamb|also known as; alias
alibi|ana|The plea or mode of defense under which a person on trial for a crime proves or attempts to prove being in another place when the alleged act was committed
alibi|ana|alibi
alibi|ana|alibi
alibi|ana|alibi
alibi|tamb|elsewhere
alibi|ana|alibi
alibi|ana|alibi
alien|ana|person
alien|ana|alien; extraterrestrial life form
alienate|mpam|estranged
aliene|mat|alien or alienate; to transfer
alienize|mat|render  alien.
alieve|mat|subconsciously feel  to be true
alight|mat|make light or less heavy; lighten; alleviate.
align|mat|form a line; to fall into line.
aliment|ana|food.
aliment|ana|food
aliment|ana|food
aliment|ana|item of food
aliment|ana|food
aline|mat|form in line; to fall into line.
aliquot|mpam|Contained in the whole an integral number of times
aliquot|mpam|aliquot
aliquot|mpam|some; several; a few
alkalify|mat|make
alkalinize|mat|convert
alkalize|mat|cause to become alkaline
alkylate|mat|add one or more alkyl groups to a compound
all hell breaks loose|mat|The situation becomes chaotic or characterized by conflict or rage.
all-hail|mat|salute; to greet.
allatectomize|mat|perform an allatectomy upon.
allatrate|mat|bark.
allay|mat|make quiet or put at rest; to pacify or appease; to quell; to calm.
allay|ana|harvest or dig ups
allect|mat|allure; to entice.
allegate|mat|make an allegation of; to allege.
allege|mat|state under oath
allegorise|mat|create an allegory from some event or situation.
allelotype|ana|The frequency distribution of a set of alleles in a population
alleluia|ana|hallelujah
allergize|mat|cause an allergic reaction in.
alleviate|mat|make less severe
alliance|ana|The state of being allied.
allide|mat|impact a stationary object.
alligate|mat|tie; to unite by some tie.
alligator|ana|Either of two species of large amphibious reptile
alligator|ana|alligator
alligator|ana|alligator
alligator|ana|alligator gloss|animal
alligator|ana|one who ties or binds
alligator|ana|alligator gloss|animal
allineate|mat|align.
alliterate|mat|exhibit alliteration.
alliterize|mat|exhibit alliteration; to alliterate.
allocate|mat|set aside for a purpose.
allocute|mat|make an allocution.
allograft|ana|surgical transplant of tissue between genetically different individuals of the same species; a homograft or homotransplant
allogroom|mat|perform allogrooming.
allomerize|mat|undergo allomerization
allomother|ana|human or other creature that provides some maternal care for the young born of another.
allonge|ana|slip of paper attached to a negotiable instrument to hold endorsements should the document itself be unable to hold any more.
allonurse|mat|suckle the offspring of other females
alloo|mat|allow.
allorecognize|mat|employ allorecognition
allosuck|mat|suckle from a female that is not ones mother
allot|mat|distribute or apportion by  lot.
allotransplant|ana|An allograft.
allotropize|mat|change in physical properties but not in substance.
allow|mat|grant
allow for|mat|take into account when making plans.
allowance|ana|permission; granting
alloy|ana|metal that is a combination of two or more elements
allude|mat|refer to something indirectly or by suggestion.
allure|ana|The power to attract
allure|ana|air
allure|ana|appearance
alluviate|mat|fill or cover with alluvium.
ally|mat|unite
allylate|ana|Any salt or ester of an allylic carboxylic acid
alphabet|ana|The set of letters used when writing in a language.
alphabetize|mat|arrange words or items in order of the first  letters as they occur in the alphabet.
alter|mat|change the form or structure of.
alter|ana|altar
alter|ana|the other
altercate|mat|argue
alternate|mpam|Being or succeeding by turns; one following the other in succession of time or place; by turns first one and then the other; hence
altre|mpam|other
altruize|mat|make altruistic.
alum|ana|An astringent salt
alum|ana|plant
aluminise|mat|coat with a layer of aluminium.
amain|mpam|of easy use
amain|ana|uncle
amalgam|ana|An alloy containing mercury.
amalgamate|mat|merge
amalgamize|mat|amalgamate.
amand|mat|send away; dismiss.
amanse|mat|excommunicate; interdict.
amass|mat|collect into a mass or heap
amate|ana|paper produced from the bark of adult ''Ficus'' trees.
amay|mat|dismay; confound; be dismayed.
amay|ana|father
amay|ana|father
Amazon|ana|member of a mythical race of female warriors inhabiting the Black Sea area.
Amazon|ana|an Amazon
ambass|mat|engage in the professional work of an ambassador.
amber|ana|amber
amber|ana|ambergris.
ambiguate|mat|make more ambiguous.
ambiguify|mat|ambiguate; to make ambiguous.
ambition|ana|eager
ambition|ana|en
amble|ana|An unhurried leisurely walk or stroll.
ambulate|mat|walk; to relocate oneself under the power of one's own legs.
ambuscade|ana|An ambush; a trap laid for an enemy.
ambush|ana|The act of concealing oneself and lying in wait to attack by surprise.
amel|ana|enamel
ameliorate|mat|make better
ameliorize|mat|ameliorate; to make better.
amen|tamb|At the end of religious prayers: so be it.
amen|tamb|at the end of religious prayers: so be it
amen|ana|amen
amen|ana|amen; at the end of Judeo-Christian prayers: so be it
amen|tamb|amen
amen|tamb|amen
amen|tamb|at the end of prayers: so be it
amen|tamb|amen; so be it
amen|tamb|amen; so be it; truly
amen|mat|amen
amend|mat|make better.
amenuse|mat|lessen.
amerce|mat|impose a fine on; to fine.
Americanize|mat|make American
Amerindianize|mat|make Amerindian.
amese|mat|appease
amidate|ana|product of amidation.
amidinize|mat|react with
aminate|mat|introduce one or more amino groups into a compound
amind|mat|bear in mind; consider.
amit|mat|lose.
amit|solo-ana|which
ammo|ana|ammunition.
ammoniate|mat|treat with ammonia.
ammonify|mat|treat with ammonia; to ammoniate.
ammunition|ana|Articles used in charging firearms and ordnance of all kinds; as powder
ammunition|ana|ammunition
amnesty|ana|forgetfulness.
amorphize|mat|make  amorphous
amortize|mat|alienate  in mortmain.
amound|mat|accumulate
amount|ana|The total
amove|mat|set in motion; to stir up
amp|ana|ampere
ampersand|ana|The symbol "&".
amplect|mat|embrace
amplex|mat|engage in amplexus
ampliate|mpam|Having the outer edge prominent; said of the wings of insects.
amplificate|mat|amplify.
amplify|mat|render larger
amputate|mat|surgically remove a part of the body
amscray|mat|go away.
amuse|mat|entertain or occupy in a pleasant manner; to stir with pleasing emotions.
amuse|ana|appetiser
an hero|mat|commit suicide.
anabaptize|mat|baptize or christen again; to rename.
anabolize|mat|cause
anachronize|mat|refer to
anagram|ana|word or phrase that is created by rearranges of another word or phrase.
anagram|ana|anagram
anagram|ana|anagram
